sample-id	Island	Abbreviation	Species	Band-Number	Date Collected	Location	Solution	Foraging Guild	Notes	Sample_or_Control
1801-98024-16S	Kauai	PUAI	Puaiohi 	1801-98024	4/15/18		Ethanol	Frugivore	UH freezer	Sample
2301-10757-16S	Kauai	PUAI	Puaiohi 	2301-10757	2/24/18		Ethanol	Frugivore	UH freezer	Sample
1841-12200-16S	Big Island	PALI	Palila	1841-12200	5/13/20	BOWL	Ethanol	Seed-eater		Sample
1841-12202-16S	Big Island	PALI	Palila	1841-12202	5/21/20	BOWL	Ethanol	Seed-eater		Sample
1841-12219-16S	Big Island	PALI	Palila	1841-12219	6/30/20	GUZ	Ethanol	Seed-eater		Sample
1841-12218-16S	Big Island	PALI	Palila	1841-12218	6/30/20	GUZZ	Ethanol	Seed-eater		Sample
1841-12203-16S	Big Island	PALI	Palila	1841-12203	5/29/20	GUZZ	Ethanol	Seed-eater		Sample
1841-12195-16S	Big Island	PALI	Palila	1841-12195	5/7/20	BOWL	Ethanol	Seed-eater		Sample
1841-12204-16S	Big Island	PALI	Palila	1841-12204	6/3/20	GUZZ	Ethanol	Seed-eater		Sample
1841-12208-16S	Big Island	PALI	Palila	1841-12208	6/3/20	GUZZ	Ethanol	Seed-eater		Sample
1841-12220-16S	Big Island	PALI	Palila	1841-12220	6/30/20	GUZZ	Ethanol	Seed-eater		Sample
2781-72520-16S	Oahu	OAAM	Oahu amakihi	2781-72520	7/15/20	WAAH	Ethanol	Generalist 		Sample
2781-72518-16S	Oahu	OAAM	Oahu amakihi	2781-72518	7/13/20	WAAH	Ethanol	Generalist 		Sample
2781-72519-16S	Oahu	OAAM	Oahu amakihi	2781-72519	7/15/20	WAAH	Ethanol	Generalist 		Sample
2781-72521-16S	Oahu	OAAM	Oahu amakihi	2781-72521	7/15/20	WAAH	Ethanol	Generalist 		Sample
2791-97723-16S	Oahu	OAAM	Oahu amakihi	2791-97723	6/23/20	Makiki	Ethanol	Generalist 		Sample
WILD10-16S	Maui	MAPA	Kiwiku 	WILD10	10/26/19		Ethanol	Insectivorous 		Sample
WILD8-16S	Maui	MAPA	Kiwiku 	WILD8	10/26/19		Ethanol	Insectivorous 		Sample
WILD11-16S	Maui	MAPA	Kiwiku 	WILD11	10/26/19		Ethanol	Insectivorous 		Sample
WILD07-16S	Maui	MAPA	Kiwiku 	WILD07	10/26/19	WILD	Ethanol	Insectivorous 		Sample
WILD01-16S	Maui	MAPA	Kiwiku 	WILD01	10/29/20	WILD	Ethanol	Insectivorous 		Sample
1821-67576-16S	Maui	MAAL	Maui alauahio	1821-67576	6/9/20	FSB	Ethanol	Insectivorous 		Sample
1821-67581-16S	Maui	MAAL	Maui alauahio	1821-67581	6/7/20	FSB	Ethanol	Insectivorous 		Sample
2631-36281-16S	Maui	MAAL	Maui alauahio	2631-36281	6/5/20	FSB	Ethanol	Insectivorous 		Sample
2591-56433-16S	Maui	MAAL	Maui alauahio	2591-56433	6/21/20	HR2	Ethanol	Insectivorous 		Sample
2591-56432-16S	Maui	MAAL	Maui alauahio	2591-56432	6/21/20	HR2	Ethanol	Insectivorous 		Sample
1821-67480-16S	Maui	MAAL	Maui alauahio	1821-67480	6/6/19	PALIKU	Ethanol	Insectivorous 		Sample
1821-67468-16S	Maui	MAAL	Maui alauahio	1821-67468	6/6/19	PALIKU	Ethanol	Insectivorous 		Sample
1821-67472-16S	Maui	MAAL	Maui alauahio	1821-67472	6/6/19	PALIKU	Ethanol	Insectivorous 		Sample
2591-08243-16S	Maui	MAAL	Maui alauahio	2591-08243	11/11/19	CHAR037	Alcohol	Insectivorous 		Sample
2350-24067-16S	Maui	MAAL	Maui alauahio	2350-24067	12/8/19	WEST079	Alcohol	Insectivorous 		Sample
2591-08235-16S	Maui	MAAL	Maui alauahio	2591-08235	11/9/19	CHAR028	Alcohol	Insectivorous 		Sample
2591-08251-16S	Maui	MAAL	Maui alauahio	2591-08251	11/25/19	PKEA019	Alcohol	Insectivorous 		Sample
2631-36273-16S	Maui	MAAL	Maui alauahio	2631-36273	6/7/20	FSB	Ethanol	Insectivorous 		Sample
2591-56420-16S	Maui	MAAL	Maui alauahio	2591-56420	6/6/20	FSB	Ethanol	Insectivorous 		Sample
2631-36274-16S	Maui	MAAL	Maui alauahio	2631-36274	6/7/20	FSB	Ethanol	Insectivorous 		Sample
2631-36268-16S	Maui	MAAL	Maui alauahio	2631-36268	6/7/20	FSB	Ethanol	Insectivorous 		Sample
2631-36266-16S	Maui	MAAL	Maui alauahio	2631-36266	6/8/20	FSB	Ethanol	Insectivorous 		Sample
