SampleID	Island	Abbreviation	Species	Band Number	Year 	Date Collected	Month	Location	Foraging Guild
1821-20784-COI	Kauai	AKEK	Akekee	1821-20784	2017	1/31/17	January	HPK	Insectivore 
784	Kauai	AKEK	Akekee	1821-20784	2017	1/31/17	January	HPK	Insectivore 
705	Kauai	AKEK	Akekee	2280-37705	2017	3/26/17	March	HPK	Insectivore 
1821-21379-COI	Kauai	AKEK	Akekee	1821-21379	2017	4/24/17	April	HPK	Insectivore 
1821-21380-COI	Kauai	AKEK	Akekee	1821-21380	2017	4/24/17	April	HPK	Insectivore 
379	Kauai	AKEK	Akekee	1821-21379	2017	4/27/17	April	HPK	Insectivore 
380	Kauai	AKEK	Akekee	1821-21380	2017	4/27/17	April	HPK	Insectivore 
112	Kauai	AKEK	Akekee	2631-36112	2018	1/25/18	January	HPK	Insectivore 
2631-36118-COI	Kauai	AKEK	Akekee	2631-36118	2018	2/7/18	February	HPK	Insectivore 
118	Kauai	AKEK	Akekee	2631-36118	2018	2/7/18	February	HPK	Insectivore 
2280-37663-COI	Kauai	AKEK	Akekee	2280-37663	2018	2/24/18	February	HPK	Insectivore 
660	Kauai	AKEK	Akekee	2280-37660	2018	2/24/18	February	UUK	Insectivore 
662	Kauai	AKEK	Akekee	2280-37662	2018	2/24/18	February	UUK	Insectivore 
663	Kauai	AKEK	Akekee	2280-37663	2018	2/24/18	February	UUK	Insectivore 
408	Kauai	AKEK	Akekee	1821-21408	2018	2/27/18	February	UUK	Insectivore 
2280-37760-COI	Kauai	AKEK	Akekee	2280-37760	2018	4/7/18	April	HPK	Insectivore 
760	Kauai	AKEK	Akekee	2280-37760	2018	4/7/18	April	HPK	Insectivore 
2631-36140-COI	Kauai	AKEK	Akekee	2631-36140	2018	4/20/18	April	HPK	Insectivore 
140	Kauai	AKEK	Akekee	2631-36140	2018	4/20/18	April	HPK	Insectivore 
141	Kauai	AKEK	Akekee	2631-36141	2018	4/20/18	April	HPK	Insectivore 
2280-37793-COI	Kauai	AKEK	Akekee	2280-37793	2019	5/31/19	May	HPK	Insectivore 
2280-37683-COI	Kauai	AKEK	Akekee	2280-37683	2019	7/5/19	July	HPK	Insectivore 
2690-92228-COI	Big Island	AKEP	Akepa	2690-92228	2013	3/2/13	March	PEDR	Insectivore 
2730-22105-COI	Big Island	AKEP	Akepa	2730-22105	2014	5/11/14	May	PUAK	Insectivore 
2710-42577-COI	Big Island	AKEP	Akepa	2710-42577	2015	2/24/15	February	PEDR	Insectivore 
2690-92220-022615-COI	Big Island	AKEP	Akepa	2690-92220	2015	2/26/15	February	PUAK	Insectivore 
1851-54906-COI	Big Island	AKEP	Akepa	1851-54906	2015	3/25/15	March	PUAK	Insectivore 
2690-92209-COI	Big Island	AKEP	Akepa	2690-92209	2015	5/21/15	May	PUAK	Insectivore 
2730-22273-COI	Big Island	AKEP	Akepa	2730-22273	2015	5/23/15	May	PEOR	Insectivore 
2400-68090-052515-COI	Big Island	AKEP	Akepa	2400-68090	2015	5/25/15	May	PUAK	Insectivore 
2390-93300-COI	Big Island	AKEP	Akepa	2390-93300	2015	10/1/15	October	PUAK	Insectivore 
2390-93111-COI	Big Island	AKEP	Akepa	2390-93111	2016	2/10/16	February	PUAK	Insectivore 
2390-93144-COI	Big Island	AKEP	Akepa	2390-93144	2016	3/15/16	March	PUAK	Insectivore 
2390-93256-COI	Big Island	AKEP	Akepa	2390-93256	2016	3/16/16	March	PEDR	Insectivore 
2690-92252-COI	Big Island	AKEP	Akepa	2690-92252	2016	3/24/16	March	PEDR	Insectivore 
2730-22236-COI	Big Island	AKEP	Akepa	2730-22236	2016	3/26/16	March	PUAK	Insectivore 
2400-68090-042216-COI	Big Island	AKEP	Akepa	2400-68090	2016	4/22/16	April	PUAK	Insectivore 
2390-93189-COI	Big Island	AKEP	Akepa	2390-93189	2016	4/24/16	April	PUAK	Insectivore 
2730-22318-COI	Big Island	AKEP	Akepa	2730-22318	2016	5/10/16	May	PUAK	Insectivore 
2730-22320-COI	Big Island	AKEP	Akepa	2730-22320	2016	5/16/16	May	PUAK	Insectivore 
2730-22226-COI	Big Island	AKEP	Akepa	2730-22226	2016	5/18/16	May	PEDR	Insectivore 
2690-92220-060320-COI	Big Island	AKEP	Akepa	2690-92220	2020	6/3/20	June	PUAK	Insectivore 
881-81194-072012-COI	Big Island	AKIA	Akiapolaau	881-81194	2012	7/20/12	July	PEDR	Insectivore 
881-81198-COI	Big Island	AKIA	Akiapolaau	881-81198	2013	3/2/13		PEDR	Insectivore 
1801-16165-041513-COI	Big Island	AKIA	Akiapolaau	1801-16165	2013	4/15/13		PUAK	Insectivore 
1801-16166-COI	Big Island	AKIA	Akiapolaau	1801-16166	2013	4/15/13		PUAK	Insectivore 
1801-16165-041613-COI	Big Island	AKIA	Akiapolaau	1801-16165	2013	4/16/13		PUAK	Insectivore 
1801-16168-COI	Big Island	AKIA	Akiapolaau	1801-16168	2013	9/27/13		PUAK	Insectivore 
1801-16186-COI	Big Island	AKIA	Akiapolaau	1801-16186	2013	12/14/13		NAUHI	Insectivore 
2641-96105-COI	Big Island	AKIA	Akiapolaau	2641-96105	2014	4/21/14		PEDR	Insectivore 
1801-16163-COI	Big Island	AKIA	Akiapolaau	1801-16163	2014	5/18/14		PUAK	Insectivore 
2641-96133-COI	Big Island	AKIA	Akiapolaau	2641-96133	2015	3/30/15		KOAR	Insectivore 
2641-96137-COI	Big Island	AKIA	Akiapolaau	2641-96137	2015	4/22/15		PEDR	Insectivore 
881-81194-070215-COI	Big Island	AKIA	Akiapolaau	881-81194	2015	7/2/15		PEDR	Insectivore 
2641-96159-COI	Big Island	AKIA	Akiapolaau	2641-96159	2016	2/15/16		KOAR	Insectivore 
2641-96164-COI	Big Island	AKIA	Akiapolaau	2641-96164	2016	3/19/16		PUAK	Insectivore 
2641-96161-COI	Big Island	AKIA	Akiapolaau	2641-96161	2017	2/17/17		PUAK	Insectivore 
2641-48231-COI	Big Island	AKIA	Akiapolaau	2641-48231	2020	1/28/20		PUAK	Insectivore 
1841-12149-COI	Big Island	AKIA	Akiapolaau	1841-12149	2020	7/1/20		BOG	Insectivore 
1821-20774-COI	Kauai	AKIK	Akikiki	1821-20774	2016	11/5/16	November	MOH	Insectivore 
1821-20775-COI	Kauai	AKIK	Akikiki	1821-20775	2016	11/5/16	November	MOH	Insectivore 
774	Kauai	AKIK	Akikiki	1821-20774	2016	11/5/16	November	UUK	Insectivore 
347-2	Kauai	AKIK	Akikiki	1821-21347	2017	1/27/17	January	HPK	Insectivore 
300-1	Kauai	AKIK	Akikiki	2280-09300	2017	1/30/17	January	HPK	Insectivore 
354-17	Kauai	AKIK	Akikiki	1821-21354	2017	3/17/17	March	HPK	Insectivore 
356	Kauai	AKIK	Akikiki	1821-21356	2017	3/17/17	March	HPK	Insectivore 
1821-20694-COI	Kauai	AKIK	Akikiki	1821-20694	2017	3/20/17	March	HPK	Insectivore 
1821-21360-COI	Kauai	AKIK	Akikiki	1821-21360	2017	3/25/17	March	HPK	Insectivore 
360-3	Kauai	AKIK	Akikiki	1821-21360	2017	3/25/17	March	HPK	Insectivore 
361	Kauai	AKIK	Akikiki	1821-21361	2017	3/26/17	March	HPK	Insectivore 
362	Kauai	AKIK	Akikiki	1821-21362	2017	3/28/17	March	HPK	Insectivore 
363	Kauai	AKIK	Akikiki	1821-21363	2017	3/28/17	March	HPK	Insectivore 
366	Kauai	AKIK	Akikiki	1821-21366	2017	4/5/17	April	HPK	Insectivore 
1821-21368-COI	Kauai	AKIK	Akikiki	1821-21368	2017	4/9/17	April	HPK	Insectivore 
369	Kauai	AKIK	Akikiki	1821-21369	2017	4/9/17	April	HPK	Insectivore 
1821-21371-COI	Kauai	AKIK	Akikiki	1821-21371	2017	4/11/17	April	HPK	Insectivore 
371	Kauai	AKIK	Akikiki	1821-21371	2017	4/11/17	April	HPK	Insectivore 
372	Kauai	AKIK	Akikiki	1821-21372	2017	4/12/17	April	HPK	Insectivore 
1821-21373-COI	Kauai	AKIK	Akikiki	1821-21373	2017	4/13/17	April	HPK	Insectivore 
373-1	Kauai	AKIK	Akikiki	1821-21373	2017	4/13/17	April	HPK	Insectivore 
373-2	Kauai	AKIK	Akikiki	1821-21373	2017	4/13/17	April	HPK	Insectivore 
374	Kauai	AKIK	Akikiki	1821-21374	2017	4/13/17	April	HPK	Insectivore 
375-1	Kauai	AKIK	Akikiki	1821-21375	2017	4/14/17	April	HPK	Insectivore 
644	Kauai	AKIK	Akikiki	2280-37644	2017	4/17/17	April	HPK	Insectivore 
347-3	Kauai	AKIK	Akikiki	1821-21347	2017	4/18/17	April	HPK	Insectivore 
1821-21381-COI	Kauai	AKIK	Akikiki	1821-21381	2017	4/25/17	April	HPK	Insectivore 
381	Kauai	AKIK	Akikiki	1821-21381	2017	4/25/17	April	HPK	Insectivore 
1821-21326-COI	Kauai	AKIK	Akikiki	1821-21326	2017	5/5/17	May	MOH	Insectivore 
1821-20712-COI	Kauai	AKIK	Akikiki	1821-20712	2017	12/12/17	December	HPK	Insectivore 
712	Kauai	AKIK	Akikiki	1821-20712	2017	12/13/17	December	HPK	Insectivore 
2631-36106-COI	Kauai	AKIK	Akikiki	2631-36106	2018	1/20/18	January	HPK	Insectivore 
734	Kauai	AKIK	Akikiki	2280-37734	2018	1/20/18	January	HPK	Insectivore 
106	Kauai	AKIK	Akikiki	2631-36106	2018	1/20/18	January	HPK	Insectivore 
736	Kauai	AKIK	Akikiki	2280-37736	2018	1/21/18	January	HPK	Insectivore 
2631-36111-COI	Kauai	AKIK	Akikiki	2631-36111	2018	1/25/18	January	HPK	Insectivore 
111	Kauai	AKIK	Akikiki	2631-36111	2018	1/25/18	January	HPK	Insectivore 
354-2	Kauai	AKIK	Akikiki	1821-21354	2018	2/7/18	February	HPK	Insectivore 
116	Kauai	AKIK	Akikiki	2631-36116	2018	2/7/18	February	HPK	Insectivore 
375-2	Kauai	AKIK	Akikiki	1821-21375	2018	2/11/18	February	HPK	Insectivore 
1821-21403-COI	Kauai	AKIK	Akikiki	1821-21403	2018	2/24/18	February	UUK	Insectivore 
402-2	Kauai	AKIK	Akikiki	1821-21402	2018	2/24/18	February	UUK	Insectivore 
403-2	Kauai	AKIK	Akikiki	1821-21403	2018	2/24/18	February	UUK	Insectivore 
1821-21407-COI	Kauai	AKIK	Akikiki	1821-21407	2018	2/27/18	February	UUK	Insectivore 
407	Kauai	AKIK	Akikiki	1821-21407	2018	2/27/18	February	UUK	Insectivore 
411	Kauai	AKIK	Akikiki	1821-21411	2018	3/7/18	March	UUK	Insectivore 
1821-21415-COI	Kauai	AKIK	Akikiki	1821-21415	2018	3/26/18	March	UUK	Insectivore 
415	Kauai	AKIK	Akikiki	1821-21415	2018	3/26/18	March	UUK	Insectivore 
300-2	Kauai	AKIK	Akikiki	2280-09300	2018	3/29/18	March	HPK	Insectivore 
373-3	Kauai	AKIK	Akikiki	1821-21373	2018	5/6/18	May	HPK	Insectivore 
2631-36142-COI	Kauai	AKIK	Akikiki	2631-36142	2018	5/7/18	May	HPK	Insectivore 
142-5	Kauai	AKIK	Akikiki	2631-36142	2018	5/7/18	May	HPK	Insectivore 
773	Kauai	AKIK	Akikiki	2280-37773	2018	5/12/18	May	HPK	Insectivore 
143	Kauai	AKIK	Akikiki	2631-36143	2018	5/12/18	May	HPK	Insectivore 
347-4	Kauai	AKIK	Akikiki	1821-21347	2018	5/20/18	May	HPK	Insectivore 
347-1	Kauai	AKIK	Akikiki	1821-21347	2018	5/21/18	May	HPK	Insectivore 
144	Kauai	AKIK	Akikiki	2631-36144	2018	5/28/18	May	HPK	Insectivore 
145	Kauai	AKIK	Akikiki	2631-36145	2018	5/28/18	May	HPK	Insectivore 
2280-37786-COI	Kauai	AKIK	Akikiki	2280-37786	2019	2/23/19	May	HPK	Insectivore 
2280-37788-COI	Kauai	AKIK	Akikiki	2280-37788	2019	2/23/19	May	HPK	Insectivore 
1821-21422-COI	Kauai	AKIK	Akikiki	1821-21422	2019	5/19/19	May	HPK	Insectivore 
2631-36158-COI	Kauai	AKIK	Akikiki	2631-36158	2019	6/3/19	June	HPK	Insectivore 
2350-24351-COI	Big Island	HCRE	Alawi 	2350-24351	2015	3/14/15	NA	KOAR	Insectivore 
2591-26695-COI	Big Island	HCRE	Alawi 	2591-26695	2015	5/26/15	NA	PEDR	Insectivore 
1661-42969-COI	Big Island	HCRE	Alawi 	1661-42969	2015	9/4/15	NA	PEDR	Insectivore 
2020-40784-COI	Big Island	HCRE	Alawi 	2020-40784	2015	10/7/15	NA	PUAK	Insectivore 
1851-54934-COI	Big Island	HCRE	Alawi 	1851-54934	2016	2/25/16	NA	KOAR	Insectivore 
1831-47881-COI	Big Island	HCRE	Alawi 	1831-47881	2016	2/28/16	NA	KOAR	Insectivore 
2631-11687-031016-COI	Big Island	HCRE	Alawi 	2631-11687	2016	3/10/16	NA	PUAK	Insectivore 
2631-11782-COI	Big Island	HCRE	Alawi 	2631-11782	2016	3/14/16	NA	KOAR	Insectivore 
