Feature ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
1a31d66bcacf66832f71de5f78c70c03	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Pseudomonadaceae	 g__Pseudomonas	 s__Pseudomonas_reactans
adf2793fa83022da080dd1961f2a8e0c	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Pseudomonadaceae	 g__Pseudomonas	 s__Pseudomonas_reactans
565ffe1730acc325693b26fe88010188	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Diplorickettsiales	 f__Diplorickettsiaceae	 g__Rickettsiella	 s__uncultured_bacterium
dde7677b8bb0e625b3f695216031ed24	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Punica_granatum
4398a08668df3236689cb687955b1d43	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Catellicoccaceae	 g__Catellicoccus	 s__uncultured_bacterium
f834bb673c0a5863412a1d52ef75316f	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Diplorickettsiales	 f__Diplorickettsiaceae	 g__Rickettsiella	 s__uncultured_bacterium
f5c0343cdc85865f13a69af09280dbbf	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Punica_granatum
4367361ba3d97587621e766a0f85f92a	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Catellicoccaceae	 g__Catellicoccus	 s__uncultured_bacterium
2c734a5e8cbdc9457df7a6bd269a67e7	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Punica_granatum
5c152a8618d2cf283fb00e5707425559	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Punica_granatum
5dc8b50eb2e4aea192d2d6a6417a9812	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Lactobacillaceae	 g__Lactobacillus	 s__Lactobacillus_aviarius
20fb2b69e8f2eeb68c6223aa5a8f40e8	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Clostridiaceae	 g__Candidatus_Arthromitus	
3d4218722523b61576d600a9581b2857	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Punica_granatum
ad7a2b09710ef63aae4cf729ef21161a	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Punica_granatum
7a519b187575dc4b32cd4e3d320dfbed	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Lactobacillaceae	 g__Lactobacillus	 s__Lactobacillus_aviarius
621fe8c620864e3f56a3df6fc9e3f8df	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Clostridiaceae	 g__Candidatus_Arthromitus	
0d8c0c621112c2619d3e83507c13be93	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Punica_granatum
be6cb86dfe86a37fe2fb31903934c721	d__Bacteria	 p__Spirochaetota	 c__Spirochaetia	 o__Spirochaetales	 f__Spirochaetaceae		
732a01400da3a6a789d44833ecc7cbb5	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Punica_granatum
33d6d07e1a0a172294f2a28b64db66e8	d__Bacteria	 p__Spirochaetota	 c__Spirochaetia	 o__Spirochaetales	 f__Spirochaetaceae		
c8c1f35dc4cc7ab520b45cbaad8fe8bc	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Microbacteriaceae	 g__Microbacterium	
6b349710ee6d62f02bcae7b11e0e5b6f	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Punica_granatum
d46c3e6ddf6b569b6bc2b848ca2de953	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Diplorickettsiales	 f__Diplorickettsiaceae	 g__Rickettsiella	 s__uncultured_bacterium
b05620c6b99c82e1e172e99e1f9c60ea	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Microbacteriaceae	 g__Microbacterium	
eedf2bebea30476477e48dace3be80be	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Punica_granatum
673163bf9561e67a7eb10d9fca50531d	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria	
2b6a470c370a9bcd8acd99ce6276022d	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Diplorickettsiales	 f__Diplorickettsiaceae	 g__Rickettsiella	 s__uncultured_bacterium
e30a7122a791e81004617cf620712800	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria	
2f9d9aa467eb4610221779d8fe738957	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Punica_granatum
fc0cfe849f3a8da35bf7e7de74630451	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Erysipelotrichales	 f__Erysipelotrichaceae	 g__Turicibacter	 s__uncultured_bacterium
f51a2a7527618b220b6b520bcaffafdf	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Punica_granatum
5552b03a6b660fe30ddfd97370315af2	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Yersiniaceae	 g__Serratia	 s__Rahnella_aquatilis
4f00c9a5ac8ca129a3ae90be90ed647b	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Hydra_vulgaris
df2e036154ba62047bdc99f79b2eb844	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Erysipelotrichales	 f__Erysipelotrichaceae	 g__Turicibacter	 s__uncultured_bacterium
9c6bd5fc29f69352b663e222cf6e3da1	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Yersiniaceae	 g__Serratia	 s__Rahnella_aquatilis
5e6812e9bfe3c8ef3a2d9d5da62800de	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Hydra_vulgaris
b0c330ef25619b5d6547aa6d89ab348d	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Punica_granatum
3d68d7f1401ea8886db5eaa0c3b153c6	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Ammopiptanthus_mongolicus
7f045ffc644fd714231ba259eeae1ac8	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Pseudomonadaceae	 g__Pseudomonas	
171595ff5faa564f03ac78f35544dcf8	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Ammopiptanthus_mongolicus
905f9837c0cae8c8e87cf2f499c3bc4e	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Coccomyxa_simplex
